feature,importance,fold
COMMONAREA_MEDI,0.10609706008577273,2
ELEVATORS_MEDI,0.05118970690765184,2
ENTRANCES_MEDI,0.114714287633303,2
FLOORSMAX_MEDI,0.08712878374023854,2
FLOORSMIN_MEDI,0.03650232345797195,2
LANDAREA_MEDI,0.15494743707195216,2
LIVINGAPARTMENTS_MEDI,0.120773685164211,2
LIVINGAREA_MEDI,0.19188232297832503,2
NONLIVINGAPARTMENTS_MEDI,0.08945579944020116,2
NONLIVINGAREA_MEDI,0.15795553794454337,2
TOTALAREA_MODE,0.2337525203810701,2
OBS_30_CNT_SOCIAL_CIRCLE,0.22032166791491906,2
DEF_30_CNT_SOCIAL_CIRCLE,0.4689793839098476,2
OBS_60_CNT_SOCIAL_CIRCLE,0.2260205909968744,2
DEF_60_CNT_SOCIAL_CIRCLE,0.28036556256662276,2
DAYS_LAST_PHONE_CHANGE,1.460075677906798,2
FLAG_DOCUMENT_2,0.018515113413143092,2
FLAG_DOCUMENT_3,0.7827863254323141,2
FLAG_DOCUMENT_4,0.0,2
FLAG_DOCUMENT_5,0.03235893756157562,2
FLAG_DOCUMENT_6,0.0795205173482854,2
FLAG_DOCUMENT_7,0.0040603795339389775,2
FLAG_DOCUMENT_8,0.04662689935476946,2
FLAG_DOCUMENT_9,0.007350723155181501,2
FLAG_DOCUMENT_10,0.0,2
FLAG_DOCUMENT_11,0.04474676261319841,2
FLAG_DOCUMENT_12,0.0,2
FLAG_DOCUMENT_13,0.11125966345284126,2
FLAG_DOCUMENT_14,0.06864175530227115,2
FLAG_DOCUMENT_15,0.018419474072976196,2
FLAG_DOCUMENT_16,0.180782195312917,2
FLAG_DOCUMENT_17,0.0,2
FLAG_DOCUMENT_18,0.13776288597827507,2
FLAG_DOCUMENT_19,0.0009566489812494449,2
FLAG_DOCUMENT_20,0.006831822024176867,2
FLAG_DOCUMENT_21,0.0015737450793815765,2
AMT_REQ_CREDIT_BUREAU_HOUR,0.03465641751196948,2
AMT_REQ_CREDIT_BUREAU_DAY,0.05227400737111919,2
AMT_REQ_CREDIT_BUREAU_WEEK,0.1132222996693162,2
AMT_REQ_CREDIT_BUREAU_MON,0.3426748052872338,2
AMT_REQ_CREDIT_BUREAU_QRT,0.6379359267153631,2
AMT_REQ_CREDIT_BUREAU_YEAR,0.6856868893528899,2
DAYS_EMPLOYED_ANOM,0.007606803523522575,2
CREDIT_INCOME_PERCENT,0.7699497710121951,2
ANNUITY_INCOME_PERCENT,1.3341627512152052,2
CREDIT_TERM,10.345337446693923,2
DAYS_EMPLOYED_PERCENT,1.1995160109678404,2
CODE_GENDER_F,0.7907144044730041,2
CODE_GENDER_M,1.1806882468002187,2
NAME_TYPE_SUITE_Children,0.034770099003797954,2
NAME_TYPE_SUITE_Family,0.04420962787337498,2
NAME_TYPE_SUITE_Group of people,0.0,2
NAME_TYPE_SUITE_Other_A,0.00873465294232246,2
NAME_TYPE_SUITE_Other_B,0.005312376495818423,2
"NAME_TYPE_SUITE_Spouse, partner",0.07469816573264512,2
NAME_TYPE_SUITE_Unaccompanied,0.04962460395403585,2
NAME_INCOME_TYPE_Businessman,0.0,2
NAME_INCOME_TYPE_Commercial associate,0.050194875651184134,2
NAME_INCOME_TYPE_Pensioner,0.011621122008784535,2
NAME_INCOME_TYPE_State servant,0.18091456579643078,2
NAME_INCOME_TYPE_Student,0.0,2
